City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,loreto,22.2667,-101.9667,24.48,40,81,5.17,MX,1693433555
348,dahlonega,34.5326,-83.9849,26.08,91,100,1.36,US,1693433555
349,san andres,12.5847,-81.7006,31.01,74,40,4.12,CO,1693433555
350,westport,41.1415,-73.3579,28.38,61,0,4.63,US,1693433502
351,dahab,28.501,34.5134,32.38,33,0,5.38,EG,1693433555
352,tanque verde,32.2517,-110.7373,41.84,21,0,4.47,US,1693433555
353,yamada,39.4667,141.95,26.7,88,99,3.49,JP,1693432982
354,tifton,31.4505,-83.5085,26.98,78,75,6.69,US,1693433499
355,topchikha,52.8192,83.1185,15.55,78,90,3.21,RU,1693433556
356,tan-tan,28.438,-11.1032,20.36,92,18,4.58,MA,1693433556
357,jabor,5.921,169.6434,28.97,75,86,5.37,MH,1693433557
358,broken hill,-31.95,141.4333,7.7,77,0,5.8,AU,1693433441
359,vilyuchinsk,52.9306,158.4028,15.7,70,5,4.49,RU,1693433557
360,chu,43.5983,73.7614,16.65,80,95,6.74,KZ,1693433558
361,tralee,52.2704,-9.7026,12.88,94,100,3.19,IE,1693433558
362,kasane,-17.8167,25.15,14.38,45,0,2.21,BW,1693433558
363,melekeok village,7.4957,134.6367,27.74,83,84,4.69,PW,1693433558
